iter	Passed	Remaining
412	3642	5177
413	3651	5168
414	3661	5160
415	3669	5150
416	3677	5141
417	3685	5131
418	3693	5121
419	3702	5112
420	3711	5104
421	3720	5095
422	3728	5085
423	3737	5077
424	3745	5067
425	3753	5058
426	3761	5047
427	3771	5040
428	3779	5030
429	3788	5021
430	3796	5012
431	3805	5004
432	3813	4993
433	3822	4984
434	3829	4974
435	3839	4966
436	3847	4956
437	3856	4947
438	3865	4939
439	3874	4931
440	3883	4922
441	3891	4913
442	3901	4905
443	3909	4895
444	3918	4886
445	3927	4878
446	3937	4871
447	3947	4863
448	3957	4856
449	3968	4849
450	3976	4840
451	3987	4834
452	3997	4826
453	4005	4816
454	4013	4807
455	4021	4797
456	4029	4788
457	4037	4778
458	4046	4769
459	4054	4759
460	4063	4751
461	4071	4741
462	4080	4732
463	4088	4723
464	4097	4714
465	4105	4704
466	4114	4695
467	4122	4686
468	4132	4678
469	4140	4669
470	4149	4660
471	4158	4652
472	4167	4643
473	4176	4634
474	4184	4624
475	4193	4616
476	4201	4606
477	4212	4599
478	4220	4591
479	4230	4583
480	4239	4574
481	4248	4566
482	4258	4558
483	4266	4548
484	4275	4539
485	4284	4530
486	4294	4523
487	4302	4514
488	4312	4506
489	4321	4497
490	4330	4488
491	4339	4480
492	4347	4470
493	4355	4461
494	4363	4451
495	4371	4442
496	4380	4432
497	4388	4423
498	4396	4414
499	4404	4404
500	4412	4395
501	4421	4385
502	4429	4376
503	4437	4367
504	4446	4358
505	4456	4350
506	4466	4342
507	4476	4335
508	4486	4327
509	4495	4318
510	4504	4310
511	4512	4301
512	4521	4292
513	4529	4282
514	4538	4273
515	4546	4264
516	4554	4254
517	4562	4245
518	4571	4236
519	4578	4226
520	4587	4217
521	4595	4207
522	4603	4198
523	4611	4189
524	4620	4180
525	4627	4170
526	4636	4161
527	4644	4151
528	4653	4142
529	4660	4133
530	4669	4124
531	4677	4114
532	4685	4105
533	4693	4095
534	4702	4087
535	4710	4077
536	4719	4069
537	4727	4059
538	4736	4050
539	4744	4041
540	4752	4032
541	4760	4023
542	4769	4014
543	4777	4004
544	4786	3995
545	4794	3986
546	4802	3977
547	4810	3968
548	4819	3959
549	4827	3949
550	4835	3940
551	4843	3931
552	4851	3921
553	4860	3912
554	4868	3903
555	4876	3893
556	4884	3884
557	4892	3875
558	4900	3866
559	4909	3857
560	4917	3847
561	4925	3838
562	4933	3829
563	4941	3820
564	4949	3811
565	4958	3801
566	4966	3792
567	4974	3783
568	4982	3774
569	4991	3765
570	4999	3756
571	5008	3747
572	5016	3738
573	5025	3729
574	5033	3720
575	5042	3711
576	5050	3702
577	5058	3693
578	5066	3683
579	5075	3675
580	5083	3665
581	5093	3657
582	5101	3648
583	5110	3640
584	5118	3631
585	5127	3622
586	5135	3612
587	5143	3604
588	5151	3594
589	5160	3586
590	5168	3576
591	5176	3567
592	5189	3561
593	5198	3553
594	5206	3543
595	5215	3535
596	5223	3525
597	5231	3517
598	5239	3507
599	5247	3498
600	5255	3489
601	5263	3480
602	5272	3471
603	5280	3462
604	5288	3452
605	5297	3444
606	5304	3434
607	5313	3425
608	5321	3416
609	5329	3407
610	5337	3398
611	5346	3389
612	5354	3380
613	5363	3371
614	5370	3362
615	5379	3353
616	5387	3344
617	5396	3335
618	5404	3326
619	5413	3317
620	5421	3308
621	5429	3299
622	5437	3290
623	5446	3282
624	5455	3273
625	5463	3264
626	5473	3255
627	5481	3247
628	5490	3238
629	5498	3229
630	5507	3220
631	5516	3211
632	5525	3203
633	5533	3194
634	5542	3185
635	5550	3176
636	5559	3168
637	5568	3159
638	5578	3151
639	5588	3143
640	5597	3134
641	5607	3127
642	5621	3121
643	5630	3112
644	5639	3103
645	5647	3095
646	5657	3086
647	5666	3078
648	5676	3069
649	5685	3061
650	5694	3052
651	5703	3044
652	5714	3036
653	5726	3029
654	5736	3021
655	5746	3013
656	5757	3005
657	5768	2997
658	5777	2989
659	5789	2982
660	5798	2973
661	5808	2965
662	5818	2957
663	5829	2949
664	5839	2941
665	5850	2934
666	5859	2925
667	5871	2918
668	5883	2910
669	5893	2902
670	5905	2895
671	5915	2887
672	5925	2879
673	5936	2871
674	5946	2863
675	5956	2854
676	5968	2847
677	5978	2839
678	5989	2831
679	6000	2823
680	6010	2815
681	6021	2807
682	6032	2800
683	6042	2791
684	6052	2783
685	6063	2775
686	6072	2766
687	6083	2758
688	6093	2750
689	6101	2741
690	6111	2732
691	6119	2723
692	6130	2715
693	6138	2706
694	6149	2698
695	6159	2690
696	6168	2681
697	6178	2673
698	6187	2664
699	6197	2656
700	6206	2647
701	6216	2638
702	6226	2630
703	6234	2621
704	6245	2613
705	6254	2604
706	6264	2595
707	6273	2587
708	6283	2579
709	6294	2571
710	6303	2562
711	6313	2553
712	6323	2545
713	6332	2536
714	6342	2528
715	6351	2519
716	6361	2511
717	6371	2502
718	6380	2493
719	6390	2485
720	6398	2475
721	6409	2467
722	6417	2458
723	6427	2450
724	6436	2441
725	6446	2432
726	6456	2424
727	6465	2415
728	6475	2407
729	6484	2398
730	6494	2389
731	6512	2384
732	6528	2377
733	6539	2369
734	6549	2361
735	6557	2352
736	6568	2343
737	6577	2335
738	6586	2326
739	6596	2317
740	6605	2308
741	6616	2300
742	6624	2291
743	6634	2282
744	6643	2273
745	6653	2265
746	6663	2256
747	6672	2247
748	6683	2239
749	6694	2231
750	6704	2222
751	6715	2214
752	6725	2206
753	6736	2197
754	6746	2189
755	6756	2180
756	6767	2172
757	6775	2163
758	6786	2154
759	6797	2146
760	6807	2138
761	6817	2129
762	6830	2121
763	6840	2113
764	6851	2104
765	6872	2099
766	6883	2091
767	6894	2082
768	6904	2073
769	6914	2065
770	6924	2056
771	6932	2047
772	6943	2039
773	6952	2030
774	6962	2021
775	6971	2012
776	6981	2003
777	6992	1995
778	7000	1986
779	7010	1977
780	7019	1968
781	7028	1959
782	7038	1950
783	7046	1941
784	7057	1932
785	7065	1923
786	7076	1915
787	7085	1906
788	7094	1897
789	7103	1888
790	7112	1879
791	7125	1871
792	7136	1862
793	7146	1854
794	7157	1845
795	7167	1836
796	7177	1828
797	7188	1819
798	7198	1810
799	7206	1801
800	7216	1792
801	7225	1783
802	7237	1775
803	7246	1766
804	7256	1757
805	7275	1751
806	7289	1743
807	7303	1735
808	7313	1726
809	7336	1720
810	7348	1712
811	7359	1703
812	7370	1695
813	7381	1686
814	7389	1677
815	7398	1668
816	7407	1659
817	7417	1650
818	7427	1641
819	7436	1632
820	7446	1623
821	7454	1614
822	7465	1605
823	7473	1596
824	7484	1587
825	7494	1578
826	7502	1569
827	7514	1561
828	7524	1552
829	7532	1542
830	7543	1534
831	7551	1524
832	7562	1516
833	7571	1507
834	7581	1498
835	7591	1489
836	7599	1479
837	7610	1471
838	7618	1461
839	7628	1453
840	7638	1444
841	7647	1435
842	7658	1426
843	7667	1417
844	7679	1408
845	7690	1399
846	7698	1390
847	7711	1382
848	7722	1373
849	7732	1364
850	7743	1355
851	7755	1347
852	7765	1338
853	7777	1329
854	7789	1320
855	7798	1311
856	7809	1303
857	7819	1294
858	7831	1285
859	7842	1276
860	7850	1267
861	7862	1258
862	7870	1249
863	7880	1240
864	7889	1231
865	7898	1222
866	7908	1213
867	7917	1203
868	7927	1195
869	7936	1185
870	7947	1177
871	7958	1168
872	7966	1158
873	7976	1149
874	7985	1140
875	7994	1131
876	8004	1122
877	8014	1113
878	8025	1104
879	8034	1095
880	8045	1086
